City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Camacha,33.08,-16.33,68.0,88,75,13.87,PT
Mataura,-46.19,168.86,42.75,93,100,6.22,NZ
Hobart,-42.88,147.33,44.6,81,20,5.82,AU
Manacor,39.57,3.21,73.4,94,0,3.36,ES
São José da Coroa Grande,-8.9,-35.15,75.6,81,2,6.6,BR
Barrow,71.29,-156.79,42.8,75,1,16.11,US
Levelland,33.59,-102.38,98.6,14,20,12.75,US
Ambon City,-3.7,128.18,73.4,100,75,4.7,ID
Morondava,-20.28,44.28,72.28,60,0,12.01,MG
Rikitea,-23.12,-134.97,68.27,60,38,14.12,PF
Ogden,41.22,-111.97,63.0,36,1,11.41,US
Alta Floresta,-9.88,-56.09,73.96,53,0,3.2,BR
Port Alfred,-33.59,26.89,57.0,95,53,5.01,ZA
Ongandjera,-17.88,15.07,60.24,31,0,8.32,NA
Arrondissement de Bastia,42.67,9.33,77.0,88,0,3.36,FR
New Norfolk,-42.78,147.06,43.0,93,32,2.55,AU
Mabay,6.06,124.47,78.89,76,89,3.44,PH
Ugoofaaru,5.67,73.0,83.03,80,60,10.4,MV
Ponta do Sol,32.67,-17.1,71.6,68,40,9.17,PT
Severo-Kuril'sk,50.68,156.12,49.39,92,100,10.71,RU
Kapaa,22.08,-159.32,84.2,70,1,11.41,US
Horasan,40.05,42.17,53.64,60,0,3.47,TR
Esperance,-33.87,121.9,50.0,87,3,17.22,AU
Taltal,-25.4,-70.48,57.06,73,78,5.79,CL
Dunedin,-45.87,170.5,48.99,72,88,3.0,NZ
Victor Harbor,-35.57,138.62,51.01,66,58,4.0,AU
Eldorado,-23.79,-54.28,66.31,80,93,9.91,BR
Punta Arenas,-53.15,-70.92,23.0,92,40,2.24,CL
Daru,-9.08,143.21,78.24,81,96,18.25,PG
Atuona,-9.8,-139.03,79.93,79,12,17.45,PF
Lázaro Cárdenas,17.96,-102.2,86.16,64,34,11.77,MX
Montepuez,-13.13,39.0,63.81,96,16,6.44,MZ
Kasempa,-13.46,25.83,55.54,48,0,4.79,ZM
Kjøllefjord,70.95,27.35,39.79,76,86,17.07,NO
Vardø,70.37,31.11,40.23,78,100,15.39,NO
Puerto Ayora,-0.74,-90.35,73.0,82,62,5.01,EC
Jieshi,22.81,115.83,83.1,84,100,4.88,CN
Bluff,-46.6,168.33,48.85,86,100,16.71,NZ
Talcahuano,-36.72,-73.12,53.6,87,75,4.7,CL
Katherine,-14.47,132.27,66.2,45,38,5.82,AU
Iqaluit,63.75,-68.51,37.4,86,75,14.99,CA
Mar del Plata,-38.0,-57.56,51.01,66,100,12.75,AR
Curup,-3.47,102.53,68.2,93,60,4.27,ID
Tuktoyaktuk,69.45,-133.04,57.2,62,20,11.41,CA
Hilo,19.73,-155.09,84.2,54,75,9.17,US
Homer,59.64,-151.55,59.0,58,1,12.75,US
Marawi,8.0,124.29,75.0,91,100,4.0,PH
San Patricio,19.22,-104.7,86.0,79,20,9.17,MX
Vallenar,-28.57,-70.76,57.61,65,43,2.95,CL
Bambous Virieux,-20.34,57.76,69.01,94,40,2.24,MU
Tiarei,-17.53,-149.33,82.4,54,20,5.82,PF
Nikolskoye,59.7,30.79,63.0,67,80,6.71,RU
Clyde River,70.47,-68.59,41.0,86,20,18.34,CA
Ouésso,1.61,16.05,71.08,96,100,2.91,CG
Anju,39.62,125.66,66.65,85,100,5.03,KP
San Francisco del Mar Viejo,16.23,-94.65,86.65,66,17,10.09,MX
Codrington,-38.27,141.97,44.91,83,43,13.2,AU
Praxédis Guerrero,31.37,-106.02,95.0,17,20,18.34,MX
Nanortalik,60.14,-45.24,41.47,87,55,9.53,GL
Busselton,-33.65,115.33,57.99,74,27,18.95,AU
Balkhash,46.84,74.98,67.48,39,0,8.84,KZ
Cape Town,-33.93,18.42,57.99,100,12,2.24,ZA
Kavaratti,10.57,72.64,83.32,80,100,17.2,IN
Cabo San Lucas,22.89,-109.91,84.99,69,90,10.29,MX
Vrangel',42.73,133.08,56.35,93,100,13.8,RU
Ushuaia,-54.8,-68.3,33.8,69,75,8.05,AR
Sinnamary,5.38,-52.95,79.05,85,77,9.8,GF
Am Timan,11.03,20.28,80.1,76,84,3.33,TD
Mingora,34.78,72.36,75.87,38,0,5.97,PK
Lebu,-37.62,-73.65,51.06,90,60,6.02,CL
Saint George,37.1,-113.58,84.0,12,20,16.11,US
Hithadhoo,-0.6,73.08,84.18,66,36,2.68,MV
Cherskiy,68.75,161.3,47.8,53,24,13.04,RU
Belyy Yar,53.6,91.39,51.8,100,97,1.52,RU
Arraial do Cabo,-22.97,-42.03,69.84,73,45,17.34,BR
Tautira,-17.73,-149.15,82.4,54,20,5.82,PF
Dikson,73.51,80.55,49.68,75,3,18.99,RU
Beloha,-25.17,45.05,64.22,94,29,3.65,MG
Lermontovka,47.15,134.34,67.51,82,72,2.66,RU
Charlestown,-32.95,151.67,53.01,94,24,4.79,AU
Tāybād,34.74,60.78,67.32,24,67,13.09,IR
Hermanus,-34.42,19.23,50.0,95,21,1.01,ZA
Harper,4.38,-7.72,75.61,84,75,8.75,LR
Half Moon Bay,37.46,-122.43,82.0,34,5,12.75,US
Hasaki,35.73,140.83,77.0,83,75,8.05,JP
Tasiilaq,65.61,-37.64,48.2,66,100,17.22,GL
Kavieng,-2.57,150.8,84.22,72,44,9.42,PG
Almaznyy,48.04,40.05,60.8,100,52,7.94,RU
Caravelas,-17.71,-39.25,73.17,80,1,11.45,BR
Presidencia Roque Sáenz Peña,-26.79,-60.44,61.7,80,100,6.73,AR
Provideniya,64.38,-173.3,44.6,70,27,17.9,RU
Santa Cruz de la Sierra,-17.8,-63.17,73.4,78,40,19.46,BO
Rāzole,16.48,81.83,82.29,86,100,3.58,IN
Husavik,66.04,-17.34,48.2,70,75,4.7,IS
Lorengau,-2.02,147.27,83.46,76,9,6.06,PG
Ilulissat,69.22,-51.1,41.0,86,69,6.93,GL
Khatanga,71.97,102.5,78.85,48,29,6.24,RU
Bethel,41.37,-73.41,72.0,73,1,4.7,US
Quatre Cocos,-20.21,57.76,69.01,94,40,2.24,MU
Lingyuan,41.24,119.4,70.14,71,100,12.75,CN
Guerrero Negro,27.98,-114.06,73.71,55,0,16.37,MX
Kuusamo,65.97,29.18,59.0,72,75,12.75,FI
Qaanaaq,77.48,-69.36,43.36,62,1,2.3,GL
Chui,-33.7,-53.46,53.71,80,100,10.13,UY
George Town,5.41,100.34,78.8,94,20,3.02,MY
Oroquieta,8.49,123.8,75.33,87,100,2.53,PH
Saldanha,-33.01,17.94,51.8,87,9,3.36,ZA
Saskylakh,71.92,114.08,83.46,34,50,9.55,RU
Dunda,-8.12,34.25,61.75,74,28,2.95,TZ
Kumul,42.8,93.45,67.14,45,100,13.62,CN
Gornopravdinsk,60.05,69.9,47.16,96,100,5.99,RU
Pińczów,50.52,20.53,64.0,99,100,4.0,PL
Karanpura,29.1,75.09,97.12,33,1,5.41,IN
Albany,42.6,-73.97,71.01,87,70,5.95,US
Andenes,69.31,16.12,44.6,93,89,28.86,NO
Cansanção,-10.67,-39.5,67.51,76,8,6.44,BR
Hibbing,47.43,-92.94,78.8,61,20,4.7,US
Airai,-8.93,125.41,58.91,100,92,3.33,TL
Butaritari,3.07,172.79,83.08,64,99,5.55,KI
Sitka,57.05,-135.33,55.4,87,90,4.7,US
Port Augusta,-32.5,137.77,50.0,52,0,18.34,AU
Izhma,65.01,53.91,43.86,72,99,6.78,RU
Turinsk,58.05,63.7,46.02,96,89,4.63,RU
Neiafu,-18.65,-173.98,78.8,88,90,4.7,TO
Trincomalee,8.57,81.23,81.95,78,98,19.93,LK
Geraldton,-28.77,114.6,57.2,93,75,9.17,AU
Mbanza-Ngungu,-5.25,14.87,68.27,81,13,9.37,CD
Balabac,7.99,117.06,82.02,81,99,9.1,PH
Lavrentiya,65.58,-171.0,44.24,69,66,8.52,RU
Avarua,-21.21,-159.78,77.0,65,24,23.04,CK
Hamilton,39.18,-84.53,88.0,66,20,3.36,US
Port Elizabeth,-33.92,25.57,57.2,93,90,16.11,ZA
Erenhot,43.65,111.98,68.65,62,77,5.5,CN
Micheweni,-4.97,39.83,76.82,84,11,10.85,TZ
East London,-33.02,27.91,63.05,70,66,19.75,ZA
